merchant,description,mcc,transaction_type,label,source
Lenta Express,Synthetic payment at lenta,5451,expense,2,seed_keywords_v1
Lenta Online,Synthetic online payment lenta,5499,expense,2,seed_keywords_v1
Lenta Pay,Synthetic card operation lenta,5411,expense,2,seed_keywords_v1
Lenta Store,Synthetic lenta receipt,5462,expense,2,seed_keywords_v1
Perekrestok City,Synthetic perekrestok receipt,5441,expense,2,seed_keywords_v1
Perekrestok Express,Synthetic online payment perekrestok,5451,expense,2,seed_keywords_v1
Perekrestok Online,Synthetic no mcc operation perekrestok,0,expense,2,seed_no_mcc_v1
Perekrestok Online,Synthetic perekrestok purchase,5411,expense,2,seed_keywords_v1
Perekrestok Pay,Synthetic payment at perekrestok,5422,expense,2,seed_keywords_v1
Perekrestok Store,Synthetic card operation perekrestok,5462,expense,2,seed_keywords_v1
Pyaterochka City,Synthetic no mcc operation pyaterochka,0,expense,2,seed_no_mcc_v1
Pyaterochka City,Synthetic pyaterochka purchase,5451,expense,2,seed_keywords_v1
Pyaterochka Express,Synthetic payment at pyaterochka,5462,expense,2,seed_keywords_v1
Pyaterochka Online,Synthetic online payment pyaterochka,5411,expense,2,seed_keywords_v1
Pyaterochka Pay,Synthetic card operation pyaterochka,5422,expense,2,seed_keywords_v1
Pyaterochka Store,Synthetic pyaterochka receipt,5499,expense,2,seed_keywords_v1
Sbermarket City,Synthetic sbermarket receipt,5411,expense,2,seed_keywords_v1
Sbermarket Express,Synthetic online payment sbermarket,5422,expense,2,seed_keywords_v1
Sbermarket Online,Synthetic no mcc operation sbermarket,0,expense,2,seed_no_mcc_v1
Sbermarket Online,Synthetic sbermarket purchase,5462,expense,2,seed_keywords_v1
Sbermarket Pay,Synthetic payment at sbermarket,5499,expense,2,seed_keywords_v1
Sbermarket Store,Synthetic card operation sbermarket,5441,expense,2,seed_keywords_v1
Vkusvill City,Synthetic card operation vkusvill,5411,expense,2,seed_keywords_v1
Vkusvill Express,Synthetic no mcc operation vkusvill,0,expense,2,seed_no_mcc_v1
Vkusvill Express,Synthetic vkusvill purchase,5441,expense,2,seed_keywords_v1
Vkusvill Online,Synthetic vkusvill receipt,5462,expense,2,seed_keywords_v1
Vkusvill Pay,Synthetic online payment vkusvill,5499,expense,2,seed_keywords_v1
Vkusvill Store,Synthetic payment at vkusvill,5451,expense,2,seed_keywords_v1
Winelab City,Synthetic card operation winelab,5499,expense,2,seed_keywords_v1
Winelab Express,Synthetic no mcc operation winelab,0,expense,2,seed_no_mcc_v1
Winelab Express,Synthetic winelab purchase,5422,expense,2,seed_keywords_v1
Winelab Online,Synthetic winelab receipt,5451,expense,2,seed_keywords_v1
Winelab Pay,Synthetic online payment winelab,5462,expense,2,seed_keywords_v1
Winelab Store,Synthetic payment at winelab,5441,expense,2,seed_keywords_v1
Ашан City,Synthetic card operation ашан,5422,expense,2,seed_keywords_v1
Ашан Express,Synthetic no mcc operation ашан,0,expense,2,seed_no_mcc_v1
Ашан Express,Synthetic ашан purchase,5451,expense,2,seed_keywords_v1
Ашан Online,Synthetic ашан receipt,5499,expense,2,seed_keywords_v1
Ашан Pay,Synthetic online payment ашан,5411,expense,2,seed_keywords_v1
Ашан Store,Synthetic payment at ашан,5462,expense,2,seed_keywords_v1
Бристоль City,Synthetic no mcc operation бристоль,0,expense,2,seed_no_mcc_v1
Бристоль City,Synthetic бристоль purchase,5411,expense,2,seed_keywords_v1
Бристоль Express,Synthetic payment at бристоль,5422,expense,2,seed_keywords_v1
Бристоль Online,Synthetic online payment бристоль,5451,expense,2,seed_keywords_v1
Бристоль Pay,Synthetic card operation бристоль,5462,expense,2,seed_keywords_v1
Бристоль Store,Synthetic бристоль receipt,5441,expense,2,seed_keywords_v1
Вкусвилл City,Synthetic no mcc operation вкусвилл,0,expense,2,seed_no_mcc_v1
Вкусвилл City,Synthetic вкусвилл purchase,5422,expense,2,seed_keywords_v1
Вкусвилл Express,Synthetic payment at вкусвилл,5441,expense,2,seed_keywords_v1
Вкусвилл Online,Synthetic online payment вкусвилл,5462,expense,2,seed_keywords_v1
Вкусвилл Pay,Synthetic card operation вкусвилл,5499,expense,2,seed_keywords_v1
Вкусвилл Store,Synthetic вкусвилл receipt,5451,expense,2,seed_keywords_v1
Дикси City,Synthetic дикси receipt,5422,expense,2,seed_keywords_v1
Дикси Express,Synthetic online payment дикси,5441,expense,2,seed_keywords_v1
Дикси Online,Synthetic no mcc operation дикси,0,expense,2,seed_no_mcc_v1
Дикси Online,Synthetic дикси purchase,5499,expense,2,seed_keywords_v1
Дикси Pay,Synthetic payment at дикси,5411,expense,2,seed_keywords_v1
Дикси Store,Synthetic card operation дикси,5451,expense,2,seed_keywords_v1
Красное Белое City,Synthetic online payment красное белое,5499,expense,2,seed_keywords_v1
Красное Белое Express,Synthetic card operation красное белое,5411,expense,2,seed_keywords_v1
Красное Белое Online,Synthetic payment at красное белое,5451,expense,2,seed_keywords_v1
Красное Белое Pay,Synthetic красное белое receipt,5462,expense,2,seed_keywords_v1
Красное Белое Store,Synthetic no mcc operation красное белое,0,expense,2,seed_no_mcc_v1
Красное Белое Store,Synthetic красное белое purchase,5441,expense,2,seed_keywords_v1
Лента City,Synthetic payment at лента,5441,expense,2,seed_keywords_v1
Лента Express,Synthetic лента receipt,5451,expense,2,seed_keywords_v1
Лента Online,Synthetic card operation лента,5499,expense,2,seed_keywords_v1
Лента Pay,Synthetic no mcc operation лента,0,expense,2,seed_no_mcc_v1
Лента Pay,Synthetic лента purchase,5422,expense,2,seed_keywords_v1
Лента Store,Synthetic online payment лента,5462,expense,2,seed_keywords_v1
Перекресток City,Synthetic card operation перекресток,5441,expense,2,seed_keywords_v1
Перекресток Express,Synthetic no mcc operation перекресток,0,expense,2,seed_no_mcc_v1
Перекресток Express,Synthetic перекресток purchase,5462,expense,2,seed_keywords_v1
Перекресток Online,Synthetic перекресток receipt,5411,expense,2,seed_keywords_v1
Перекресток Pay,Synthetic online payment перекресток,5422,expense,2,seed_keywords_v1
Перекресток Store,Synthetic payment at перекресток,5499,expense,2,seed_keywords_v1
Перекрёсток City,Synthetic online payment перекрёсток,5441,expense,2,seed_keywords_v1
Перекрёсток Express,Synthetic card operation перекрёсток,5451,expense,2,seed_keywords_v1
Перекрёсток Online,Synthetic payment at перекрёсток,5411,expense,2,seed_keywords_v1
Перекрёсток Pay,Synthetic перекрёсток receipt,5422,expense,2,seed_keywords_v1
Перекрёсток Store,Synthetic no mcc operation перекрёсток,0,expense,2,seed_no_mcc_v1
Перекрёсток Store,Synthetic перекрёсток purchase,5499,expense,2,seed_keywords_v1
Пятерочка City,Synthetic online payment пятерочка,5451,expense,2,seed_keywords_v1
Пятерочка Express,Synthetic card operation пятерочка,5462,expense,2,seed_keywords_v1
Пятерочка Online,Synthetic payment at пятерочка,5422,expense,2,seed_keywords_v1
Пятерочка Pay,Synthetic пятерочка receipt,5441,expense,2,seed_keywords_v1
Пятерочка Store,Synthetic no mcc operation пятерочка,0,expense,2,seed_no_mcc_v1
Пятерочка Store,Synthetic пятерочка purchase,5411,expense,2,seed_keywords_v1
Пятёрочка City,Synthetic пятёрочка receipt,5451,expense,2,seed_keywords_v1
Пятёрочка Express,Synthetic online payment пятёрочка,5462,expense,2,seed_keywords_v1
Пятёрочка Online,Synthetic no mcc operation пятёрочка,0,expense,2,seed_no_mcc_v1
Пятёрочка Online,Synthetic пятёрочка purchase,5422,expense,2,seed_keywords_v1
Пятёрочка Pay,Synthetic payment at пятёрочка,5441,expense,2,seed_keywords_v1
Пятёрочка Store,Synthetic card operation пятёрочка,5499,expense,2,seed_keywords_v1
Самокат City,Synthetic online payment самокат,5411,expense,2,seed_keywords_v1
Самокат Express,Synthetic card operation самокат,5422,expense,2,seed_keywords_v1
Самокат Online,Synthetic payment at самокат,5462,expense,2,seed_keywords_v1
Самокат Pay,Synthetic самокат receipt,5499,expense,2,seed_keywords_v1
Самокат Store,Synthetic no mcc operation самокат,0,expense,2,seed_no_mcc_v1
Самокат Store,Synthetic самокат purchase,5451,expense,2,seed_keywords_v1
Burger King City,Synthetic no mcc operation burger king,0,expense,3,seed_no_mcc_v1
Burger King City,Synthetic burger king purchase,5812,expense,3,seed_keywords_v1
Burger King Express,Synthetic payment at burger king,5813,expense,3,seed_keywords_v1
Burger King Online,Synthetic online payment burger king,5812,expense,3,seed_keywords_v1
Burger King Pay,Synthetic card operation burger king,5813,expense,3,seed_keywords_v1
Burger King Store,Synthetic burger king receipt,5814,expense,3,seed_keywords_v1
Cafe City,Synthetic online payment cafe,5813,expense,3,seed_keywords_v1
Cafe Express,Synthetic card operation cafe,5814,expense,3,seed_keywords_v1
Cafe Online,Synthetic payment at cafe,5814,expense,3,seed_keywords_v1
Cafe Pay,Synthetic cafe receipt,5812,expense,3,seed_keywords_v1
Cafe Store,Synthetic no mcc operation cafe,0,expense,3,seed_no_mcc_v1
Cafe Store,Synthetic cafe purchase,5813,expense,3,seed_keywords_v1
Coffee City,Synthetic no mcc operation coffee,0,expense,3,seed_no_mcc_v1
Coffee City,Synthetic coffee purchase,5814,expense,3,seed_keywords_v1
Coffee Express,Synthetic payment at coffee,5812,expense,3,seed_keywords_v1
Coffee Online,Synthetic online payment coffee,5814,expense,3,seed_keywords_v1
Coffee Pay,Synthetic card operation coffee,5812,expense,3,seed_keywords_v1
Coffee Store,Synthetic coffee receipt,5813,expense,3,seed_keywords_v1
Dodo City,Synthetic dodo receipt,5812,expense,3,seed_keywords_v1
Dodo Express,Synthetic online payment dodo,5813,expense,3,seed_keywords_v1
Dodo Online,Synthetic no mcc operation dodo,0,expense,3,seed_no_mcc_v1
Dodo Online,Synthetic dodo purchase,5813,expense,3,seed_keywords_v1
Dodo Pay,Synthetic payment at dodo,5814,expense,3,seed_keywords_v1
Dodo Store,Synthetic card operation dodo,5814,expense,3,seed_keywords_v1
Kfc City,Synthetic payment at kfc,5812,expense,3,seed_keywords_v1
Kfc Express,Synthetic kfc receipt,5813,expense,3,seed_keywords_v1
Kfc Online,Synthetic card operation kfc,5812,expense,3,seed_keywords_v1
Kfc Pay,Synthetic no mcc operation kfc,0,expense,3,seed_no_mcc_v1
Kfc Pay,Synthetic kfc purchase,5814,expense,3,seed_keywords_v1
Kfc Store,Synthetic online payment kfc,5814,expense,3,seed_keywords_v1
Mcdonalds City,Synthetic card operation mcdonalds,5814,expense,3,seed_keywords_v1
Mcdonalds Express,Synthetic no mcc operation mcdonalds,0,expense,3,seed_no_mcc_v1
Mcdonalds Express,Synthetic mcdonalds purchase,5813,expense,3,seed_keywords_v1
Mcdonalds Online,Synthetic mcdonalds receipt,5812,expense,3,seed_keywords_v1
Mcdonalds Pay,Synthetic online payment mcdonalds,5813,expense,3,seed_keywords_v1
Mcdonalds Store,Synthetic payment at mcdonalds,5814,expense,3,seed_keywords_v1
Restaurant City,Synthetic payment at restaurant,5813,expense,3,seed_keywords_v1
Restaurant Express,Synthetic restaurant receipt,5814,expense,3,seed_keywords_v1
Restaurant Online,Synthetic card operation restaurant,5813,expense,3,seed_keywords_v1
Restaurant Pay,Synthetic no mcc operation restaurant,0,expense,3,seed_no_mcc_v1
Restaurant Pay,Synthetic restaurant purchase,5812,expense,3,seed_keywords_v1
Restaurant Store,Synthetic online payment restaurant,5812,expense,3,seed_keywords_v1
Starbucks City,Synthetic starbucks receipt,5814,expense,3,seed_keywords_v1
Starbucks Express,Synthetic online payment starbucks,5812,expense,3,seed_keywords_v1
Starbucks Online,Synthetic no mcc operation starbucks,0,expense,3,seed_no_mcc_v1
Starbucks Online,Synthetic starbucks purchase,5812,expense,3,seed_keywords_v1
Starbucks Pay,Synthetic payment at starbucks,5813,expense,3,seed_keywords_v1
Starbucks Store,Synthetic card operation starbucks,5813,expense,3,seed_keywords_v1
Subway City,Synthetic subway receipt,5812,expense,3,seed_keywords_v1
Subway Express,Synthetic online payment subway,5813,expense,3,seed_keywords_v1
Subway Online,Synthetic no mcc operation subway,0,expense,3,seed_no_mcc_v1
Subway Online,Synthetic subway purchase,5813,expense,3,seed_keywords_v1
Subway Pay,Synthetic payment at subway,5814,expense,3,seed_keywords_v1
Subway Store,Synthetic card operation subway,5814,expense,3,seed_keywords_v1
Tanuki City,Synthetic online payment tanuki,5812,expense,3,seed_keywords_v1
Tanuki Express,Synthetic card operation tanuki,5813,expense,3,seed_keywords_v1
Tanuki Online,Synthetic payment at tanuki,5813,expense,3,seed_keywords_v1
Tanuki Pay,Synthetic tanuki receipt,5814,expense,3,seed_keywords_v1
Tanuki Store,Synthetic no mcc operation tanuki,0,expense,3,seed_no_mcc_v1
Tanuki Store,Synthetic tanuki purchase,5812,expense,3,seed_keywords_v1
Yakitoriya City,Synthetic card operation yakitoriya,5812,expense,3,seed_keywords_v1
Yakitoriya Express,Synthetic no mcc operation yakitoriya,0,expense,3,seed_no_mcc_v1
Yakitoriya Express,Synthetic yakitoriya purchase,5814,expense,3,seed_keywords_v1
Yakitoriya Online,Synthetic yakitoriya receipt,5813,expense,3,seed_keywords_v1
Yakitoriya Pay,Synthetic online payment yakitoriya,5814,expense,3,seed_keywords_v1
Yakitoriya Store,Synthetic payment at yakitoriya,5812,expense,3,seed_keywords_v1
Вкусно И Точка City,Synthetic online payment вкусно и точка,5814,expense,3,seed_keywords_v1
Вкусно И Точка Express,Synthetic card operation вкусно и точка,5812,expense,3,seed_keywords_v1
Вкусно И Точка Online,Synthetic payment at вкусно и точка,5812,expense,3,seed_keywords_v1
Вкусно И Точка Pay,Synthetic вкусно и точка receipt,5813,expense,3,seed_keywords_v1
Вкусно И Точка Store,Synthetic no mcc operation вкусно и точка,0,expense,3,seed_no_mcc_v1
Вкусно И Точка Store,Synthetic вкусно и точка purchase,5814,expense,3,seed_keywords_v1
Додо City,Synthetic online payment додо,5812,expense,3,seed_keywords_v1
Додо Express,Synthetic card operation додо,5813,expense,3,seed_keywords_v1
Додо Online,Synthetic payment at додо,5813,expense,3,seed_keywords_v1
Додо Pay,Synthetic додо receipt,5814,expense,3,seed_keywords_v1
Додо Store,Synthetic no mcc operation додо,0,expense,3,seed_no_mcc_v1
Додо Store,Synthetic додо purchase,5812,expense,3,seed_keywords_v1
Еда City,Synthetic card operation еда,5814,expense,3,seed_keywords_v1
Еда Express,Synthetic no mcc operation еда,0,expense,3,seed_no_mcc_v1
Еда Express,Synthetic еда purchase,5813,expense,3,seed_keywords_v1
Еда Online,Synthetic еда receipt,5812,expense,3,seed_keywords_v1
Еда Pay,Synthetic online payment еда,5813,expense,3,seed_keywords_v1
Еда Store,Synthetic payment at еда,5814,expense,3,seed_keywords_v1
Кафе City,Synthetic card operation кафе,5813,expense,3,seed_keywords_v1
Кафе Express,Synthetic no mcc operation кафе,0,expense,3,seed_no_mcc_v1
Кафе Express,Synthetic кафе purchase,5812,expense,3,seed_keywords_v1
Кафе Online,Synthetic кафе receipt,5814,expense,3,seed_keywords_v1
Кафе Pay,Synthetic online payment кафе,5812,expense,3,seed_keywords_v1
Кафе Store,Synthetic payment at кафе,5813,expense,3,seed_keywords_v1
Кофе City,Synthetic payment at кофе,5814,expense,3,seed_keywords_v1
Кофе Express,Synthetic кофе receipt,5812,expense,3,seed_keywords_v1
Кофе Online,Synthetic card operation кофе,5814,expense,3,seed_keywords_v1
Кофе Pay,Synthetic no mcc operation кофе,0,expense,3,seed_no_mcc_v1
Кофе Pay,Synthetic кофе purchase,5813,expense,3,seed_keywords_v1
Кофе Store,Synthetic online payment кофе,5813,expense,3,seed_keywords_v1
Ресторан City,Synthetic ресторан receipt,5813,expense,3,seed_keywords_v1
Ресторан Express,Synthetic online payment ресторан,5814,expense,3,seed_keywords_v1
Ресторан Online,Synthetic no mcc operation ресторан,0,expense,3,seed_no_mcc_v1
Ресторан Online,Synthetic ресторан purchase,5814,expense,3,seed_keywords_v1
Ресторан Pay,Synthetic payment at ресторан,5812,expense,3,seed_keywords_v1
Ресторан Store,Synthetic card operation ресторан,5812,expense,3,seed_keywords_v1
Суши City,Synthetic no mcc operation суши,0,expense,3,seed_no_mcc_v1
Суши City,Synthetic суши purchase,5813,expense,3,seed_keywords_v1
Суши Express,Synthetic payment at суши,5814,expense,3,seed_keywords_v1
Суши Online,Synthetic online payment суши,5813,expense,3,seed_keywords_v1
Суши Pay,Synthetic card operation суши,5814,expense,3,seed_keywords_v1
Суши Store,Synthetic суши receipt,5812,expense,3,seed_keywords_v1
Теремок City,Synthetic payment at теремок,5812,expense,3,seed_keywords_v1
Теремок Express,Synthetic теремок receipt,5813,expense,3,seed_keywords_v1
Теремок Online,Synthetic card operation теремок,5812,expense,3,seed_keywords_v1
Теремок Pay,Synthetic no mcc operation теремок,0,expense,3,seed_no_mcc_v1
Теремок Pay,Synthetic теремок purchase,5814,expense,3,seed_keywords_v1
Теремок Store,Synthetic online payment теремок,5814,expense,3,seed_keywords_v1
Шоколадница City,Synthetic no mcc operation шоколадница,0,expense,3,seed_no_mcc_v1
Шоколадница City,Synthetic шоколадница purchase,5812,expense,3,seed_keywords_v1
Шоколадница Express,Synthetic payment at шоколадница,5813,expense,3,seed_keywords_v1
Шоколадница Online,Synthetic online payment шоколадница,5812,expense,3,seed_keywords_v1
Шоколадница Pay,Synthetic card operation шоколадница,5813,expense,3,seed_keywords_v1
Шоколадница Store,Synthetic шоколадница receipt,5814,expense,3,seed_keywords_v1
Adidas City,Synthetic adidas receipt,5661,expense,4,seed_keywords_v1
Adidas Express,Synthetic online payment adidas,5691,expense,4,seed_keywords_v1
Adidas Online,Synthetic no mcc operation adidas,0,expense,4,seed_no_mcc_v1
Adidas Online,Synthetic adidas purchase,5631,expense,4,seed_keywords_v1
Adidas Pay,Synthetic payment at adidas,5651,expense,4,seed_keywords_v1
Adidas Store,Synthetic card operation adidas,5621,expense,4,seed_keywords_v1
Asos City,Synthetic card operation asos,5661,expense,4,seed_keywords_v1
Asos Express,Synthetic no mcc operation asos,0,expense,4,seed_no_mcc_v1
Asos Express,Synthetic asos purchase,5691,expense,4,seed_keywords_v1
Asos Online,Synthetic asos receipt,5631,expense,4,seed_keywords_v1
Asos Pay,Synthetic online payment asos,5651,expense,4,seed_keywords_v1
Asos Store,Synthetic payment at asos,5621,expense,4,seed_keywords_v1
Befree City,Synthetic befree receipt,5661,expense,4,seed_keywords_v1
Befree Express,Synthetic online payment befree,5691,expense,4,seed_keywords_v1
Befree Online,Synthetic no mcc operation befree,0,expense,4,seed_no_mcc_v1
Befree Online,Synthetic befree purchase,5631,expense,4,seed_keywords_v1
Befree Pay,Synthetic payment at befree,5651,expense,4,seed_keywords_v1
Befree Store,Synthetic card operation befree,5621,expense,4,seed_keywords_v1
Colins City,Synthetic online payment colins,5661,expense,4,seed_keywords_v1
Colins Express,Synthetic card operation colins,5691,expense,4,seed_keywords_v1
Colins Online,Synthetic payment at colins,5631,expense,4,seed_keywords_v1
Colins Pay,Synthetic colins receipt,5651,expense,4,seed_keywords_v1
Colins Store,Synthetic no mcc operation colins,0,expense,4,seed_no_mcc_v1
Colins Store,Synthetic colins purchase,5621,expense,4,seed_keywords_v1
Gloria Jeans City,Synthetic payment at gloria jeans,5661,expense,4,seed_keywords_v1
Gloria Jeans Express,Synthetic gloria jeans receipt,5691,expense,4,seed_keywords_v1
Gloria Jeans Online,Synthetic card operation gloria jeans,5631,expense,4,seed_keywords_v1
Gloria Jeans Pay,Synthetic no mcc operation gloria jeans,0,expense,4,seed_no_mcc_v1
Gloria Jeans Pay,Synthetic gloria jeans purchase,5651,expense,4,seed_keywords_v1
Gloria Jeans Store,Synthetic online payment gloria jeans,5621,expense,4,seed_keywords_v1
H M City,Synthetic h m receipt,5661,expense,4,seed_keywords_v1
H M Express,Synthetic online payment h m,5691,expense,4,seed_keywords_v1
H M Online,Synthetic no mcc operation h m,0,expense,4,seed_no_mcc_v1
H M Online,Synthetic h m purchase,5631,expense,4,seed_keywords_v1
H M Pay,Synthetic payment at h m,5651,expense,4,seed_keywords_v1
H M Store,Synthetic card operation h m,5621,expense,4,seed_keywords_v1
Lamoda City,Synthetic no mcc operation lamoda,0,expense,4,seed_no_mcc_v1
Lamoda City,Synthetic lamoda purchase,5661,expense,4,seed_keywords_v1
Lamoda Express,Synthetic payment at lamoda,5691,expense,4,seed_keywords_v1
Lamoda Online,Synthetic online payment lamoda,5631,expense,4,seed_keywords_v1
Lamoda Pay,Synthetic card operation lamoda,5651,expense,4,seed_keywords_v1
Lamoda Store,Synthetic lamoda receipt,5621,expense,4,seed_keywords_v1
Mango City,Synthetic no mcc operation mango,0,expense,4,seed_no_mcc_v1
Mango City,Synthetic mango purchase,5661,expense,4,seed_keywords_v1
Mango Express,Synthetic payment at mango,5691,expense,4,seed_keywords_v1
Mango Online,Synthetic online payment mango,5631,expense,4,seed_keywords_v1
Mango Pay,Synthetic card operation mango,5651,expense,4,seed_keywords_v1
Mango Store,Synthetic mango receipt,5621,expense,4,seed_keywords_v1
Nike City,Synthetic payment at nike,5661,expense,4,seed_keywords_v1
Nike Express,Synthetic nike receipt,5691,expense,4,seed_keywords_v1
Nike Online,Synthetic card operation nike,5631,expense,4,seed_keywords_v1
Nike Pay,Synthetic no mcc operation nike,0,expense,4,seed_no_mcc_v1
Nike Pay,Synthetic nike purchase,5651,expense,4,seed_keywords_v1
Nike Store,Synthetic online payment nike,5621,expense,4,seed_keywords_v1
Ostin City,Synthetic online payment ostin,5661,expense,4,seed_keywords_v1
Ostin Express,Synthetic card operation ostin,5691,expense,4,seed_keywords_v1
Ostin Online,Synthetic payment at ostin,5631,expense,4,seed_keywords_v1
Ostin Pay,Synthetic ostin receipt,5651,expense,4,seed_keywords_v1
Ostin Store,Synthetic no mcc operation ostin,0,expense,4,seed_no_mcc_v1
Ostin Store,Synthetic ostin purchase,5621,expense,4,seed_keywords_v1
Reebok City,Synthetic no mcc operation reebok,0,expense,4,seed_no_mcc_v1
Reebok City,Synthetic reebok purchase,5661,expense,4,seed_keywords_v1
Reebok Express,Synthetic payment at reebok,5691,expense,4,seed_keywords_v1
Reebok Online,Synthetic online payment reebok,5631,expense,4,seed_keywords_v1
Reebok Pay,Synthetic card operation reebok,5651,expense,4,seed_keywords_v1
Reebok Store,Synthetic reebok receipt,5621,expense,4,seed_keywords_v1
Rendez Vous City,Synthetic card operation rendez vous,5661,expense,4,seed_keywords_v1
Rendez Vous Express,Synthetic no mcc operation rendez vous,0,expense,4,seed_no_mcc_v1
Rendez Vous Express,Synthetic rendez vous purchase,5691,expense,4,seed_keywords_v1
Rendez Vous Online,Synthetic rendez vous receipt,5631,expense,4,seed_keywords_v1
Rendez Vous Pay,Synthetic online payment rendez vous,5651,expense,4,seed_keywords_v1
Rendez Vous Store,Synthetic payment at rendez vous,5621,expense,4,seed_keywords_v1
Reserved City,Synthetic card operation reserved,5661,expense,4,seed_keywords_v1
Reserved Express,Synthetic no mcc operation reserved,0,expense,4,seed_no_mcc_v1
Reserved Express,Synthetic reserved purchase,5691,expense,4,seed_keywords_v1
Reserved Online,Synthetic reserved receipt,5631,expense,4,seed_keywords_v1
Reserved Pay,Synthetic online payment reserved,5651,expense,4,seed_keywords_v1
Reserved Store,Synthetic payment at reserved,5621,expense,4,seed_keywords_v1
Sneakers City,Synthetic payment at sneakers,5661,expense,4,seed_keywords_v1
Sneakers Express,Synthetic sneakers receipt,5691,expense,4,seed_keywords_v1
Sneakers Online,Synthetic card operation sneakers,5631,expense,4,seed_keywords_v1
Sneakers Pay,Synthetic no mcc operation sneakers,0,expense,4,seed_no_mcc_v1
Sneakers Pay,Synthetic sneakers purchase,5651,expense,4,seed_keywords_v1
Sneakers Store,Synthetic online payment sneakers,5621,expense,4,seed_keywords_v1
Uniqlo City,Synthetic payment at uniqlo,5661,expense,4,seed_keywords_v1
Uniqlo Express,Synthetic uniqlo receipt,5691,expense,4,seed_keywords_v1
Uniqlo Online,Synthetic card operation uniqlo,5631,expense,4,seed_keywords_v1
Uniqlo Pay,Synthetic no mcc operation uniqlo,0,expense,4,seed_no_mcc_v1
Uniqlo Pay,Synthetic uniqlo purchase,5651,expense,4,seed_keywords_v1
Uniqlo Store,Synthetic online payment uniqlo,5621,expense,4,seed_keywords_v1
Zara City,Synthetic online payment zara,5661,expense,4,seed_keywords_v1
Zara Express,Synthetic card operation zara,5691,expense,4,seed_keywords_v1
Zara Online,Synthetic payment at zara,5631,expense,4,seed_keywords_v1
Zara Pay,Synthetic zara receipt,5651,expense,4,seed_keywords_v1
Zara Store,Synthetic no mcc operation zara,0,expense,4,seed_no_mcc_v1
Zara Store,Synthetic zara purchase,5621,expense,4,seed_keywords_v1
Обувь City,Synthetic обувь receipt,5661,expense,4,seed_keywords_v1
Обувь Express,Synthetic online payment обувь,5691,expense,4,seed_keywords_v1
Обувь Online,Synthetic no mcc operation обувь,0,expense,4,seed_no_mcc_v1
Обувь Online,Synthetic обувь purchase,5631,expense,4,seed_keywords_v1
Обувь Pay,Synthetic payment at обувь,5651,expense,4,seed_keywords_v1
Обувь Store,Synthetic card operation обувь,5621,expense,4,seed_keywords_v1
Одежда City,Synthetic online payment одежда,5661,expense,4,seed_keywords_v1
Одежда Express,Synthetic card operation одежда,5691,expense,4,seed_keywords_v1
Одежда Online,Synthetic payment at одежда,5631,expense,4,seed_keywords_v1
Одежда Pay,Synthetic одежда receipt,5651,expense,4,seed_keywords_v1
